time,open,high,low,close
2018-03-07T20:30:00+03:00,2706.44,2712.82,2702.38,2712.82
2018-03-07T21:30:00+03:00,2713.05,2717.6,2710.52,2714.18
2018-03-07T22:30:00+03:00,2714.17,2725.51,2714.13,2724.43
2018-03-07T23:30:00+03:00,2724.43,2730.6,2724.43,2726.8
2018-03-08T17:30:00+03:00,2732.75,2737.29,2727.71,2730.38
2018-03-08T18:30:00+03:00,2730.33,2735.69,2725.65,2731.85
2018-03-08T19:30:00+03:00,2731.87,2731.91,2723.25,2728.34
2018-03-08T20:30:00+03:00,2728.35,2731.13,2723.22,2725.37
2018-03-08T21:30:00+03:00,2725.37,2728.73,2722.65,2728.59
2018-03-08T22:30:00+03:00,2728.58,2740.45,2726.26,2737.71
2018-03-08T23:30:00+03:00,2737.7,2739.41,2728.05,2738.97
2018-03-09T17:30:00+03:00,2752.91,2763.9,2751.54,2762.18
2018-03-09T18:30:00+03:00,2762.17,2769.35,2761.34,2769.08
2018-03-09T19:30:00+03:00,2769.11,2775.05,2767.9,2772.82
2018-03-09T20:30:00+03:00,2772.8,2777.57,2772.42,2776.48
2018-03-09T21:30:00+03:00,2776.49,2780.53,2775.6,2777.51
2018-03-09T22:30:00+03:00,2777.52,2781.17,2777.52,2780.06
2018-03-09T23:30:00+03:00,2780.06,2786.57,2779.03,2786.57
2018-03-12T16:30:00+03:00,2790.54,2796.98,2788.6,2792.05
2018-03-12T17:30:00+03:00,2792.09,2792.09,2779.26,2779.71
2018-03-12T18:30:00+03:00,2779.78,2788.47,2779.49,2787.1
2018-03-12T19:30:00+03:00,2787.07,2788.27,2783.21,2786.2
2018-03-12T20:30:00+03:00,2786.19,2789.28,2781.42,2782.94
2018-03-12T21:30:00+03:00,2782.95,2786.44,2779.87,2785.89
2018-03-12T22:30:00+03:00,2785.84,2792.01,2783.02,2783.02
2018-03-13T16:30:00+03:00,2792.31,2801.9,2792.31,2795.42
2018-03-13T17:30:00+03:00,2795.51,2795.84,2779.96,2781.93
2018-03-13T18:30:00+03:00,2781.94,2783.97,2769.83,2775.32
2018-03-13T19:30:00+03:00,2775.33,2783.27,2775.33,2780.76
2018-03-13T20:30:00+03:00,2780.75,2782.7,2770.6,2771.91
2018-03-13T21:30:00+03:00,2771.92,2776.93,2761.69,2762.88
2018-03-13T22:30:00+03:00,2762.84,2767.42,2758.68,2765.31
2018-03-14T16:30:00+03:00,2774.06,2777.11,2761.88,2765.53
2018-03-14T17:30:00+03:00,2765.69,2768.04,2757.35,2761.65
2018-03-14T18:30:00+03:00,2761.64,2762.81,2746.08,2751.38
2018-03-14T19:30:00+03:00,2751.38,2757,2746.52,2749.62
2018-03-14T20:30:00+03:00,2749.61,2762.89,2749.61,2755.89
2018-03-14T21:30:00+03:00,2755.83,2758.02,2745.09,2746.89
2018-03-14T22:30:00+03:00,2746.86,2750.41,2744.38,2749.48
2018-03-15T16:30:00+03:00,2754.27,2755.95,2747.19,2753.85
2018-03-15T17:30:00+03:00,2753.85,2763.03,2750.44,2760.95
2018-03-15T18:30:00+03:00,2760.94,2761.56,2752.28,2754.51
2018-03-15T19:30:00+03:00,2754.5,2755.51,2750.07,2752.67
2018-03-15T20:30:00+03:00,2752.67,2753.57,2741.47,2744.52
2018-03-15T21:30:00+03:00,2744.53,2750.07,2742.62,2750.07
2018-03-15T22:30:00+03:00,2750.1,2751.01,2747.32,2747.33
2018-03-16T16:30:00+03:00,2750.79,2759.38,2750.78,2758.79
2018-03-16T17:30:00+03:00,2758.8,2760.37,2756.7,2759.8
2018-03-16T18:30:00+03:00,2759.81,2761.85,2753.55,2755.98
2018-03-16T19:30:00+03:00,2755.99,2759.2,2752.48,2753.29
2018-03-16T20:30:00+03:00,2753.29,2755.1,2749.97,2752.91
2018-03-16T21:30:00+03:00,2752.91,2755.64,2751.93,2755.27
2018-03-16T22:30:00+03:00,2755.29,2757.8,2750.64,2752.01
2018-03-19T16:30:00+03:00,2741.38,2741.38,2728.82,2733.13
